2023-05-10/19:21:02		Pirate Life Traits Scrape Started
2023-05-10/19:23:07		Pirate Life Traits Scrape Successful
2023-05-10/19:23:07		Pirate Life Traits to CSV Started
2023-05-10/19:23:07		Pirate Life Traits to CSV Successful
2023-05-10/19:37:42		Pixel Pirate Scrape Started
2023-05-10/19:37:53		Pixel Pirate Scrape Successful
2023-05-10/19:37:53		Pirate Life Scrape Started
2023-05-10/19:38:00		Error occurred while scraping Pirate Life for Error: 'number'
2023-05-10/20:06:42		Pixel Pirate Scrape Started
2023-05-10/20:09:23		Pixel Pirate Scrape Successful
2023-05-10/20:09:23		Pirate Life Scrape Started
2023-05-10/20:13:52		Pirate Life Scrape Successful
2023-05-10/20:17:29		Pixel Pirate Scrape Started
2023-05-10/20:19:31		Pixel Pirate Scrape Successful
2023-05-10/20:19:31		Pirate Life Scrape Started
2023-05-10/20:23:08		Pirate Life Scrape Successful
2023-05-10/21:13:32		Pixel Pirate Scrape Started
2023-05-10/21:15:59		Pixel Pirate Scrape Successful
2023-05-10/21:15:59		Pirate Life Scrape Started
2023-05-10/21:20:09		Pirate Life Scrape Successful
2023-05-10/22:15:16		Pixel Pirate Scrape Started
2023-05-10/22:17:42		Pixel Pirate Scrape Successful
2023-05-10/22:17:42		Pirate Life Scrape Started
2023-05-10/22:21:48		Pirate Life Scrape Successful
2023-05-10/23:13:52		Pixel Pirate Scrape Started
2023-05-10/23:16:19		Pirate Life Scrape Started
2023-05-10/23:20:30		Pirate Life Scrape Successful
2023-05-11/01:06:19		Pixel Pirate Scrape Started
2023-05-11/01:08:49		Pixel Pirate Scrape Successful
2023-05-11/01:08:49		Pirate Life Scrape Started
2023-05-11/01:13:00		Pirate Life Scrape Successful
2023-05-11/02:29:43		Pixel Pirate Scrape Started
2023-05-11/02:32:22		Pixel Pirate Scrape Successful
2023-05-11/02:32:22		Pirate Life Scrape Started
2023-05-11/02:36:50		Pirate Life Scrape Successful
2023-05-11/03:14:00		Pixel Pirate Scrape Started
2023-05-11/03:16:42		Pixel Pirate Scrape Successful
2023-05-11/03:16:42		Pirate Life Scrape Started
2023-05-11/03:20:54		Pirate Life Scrape Successful
2023-05-11/04:15:30		Pixel Pirate Scrape Started
2023-05-11/04:17:25		Pixel Pirate Scrape Successful
2023-05-11/04:17:25		Pirate Life Scrape Started
2023-05-11/04:20:30		Pirate Life Scrape Successful
2023-05-11/05:12:31		Pixel Pirate Scrape Started
2023-05-11/05:14:26		Pixel Pirate Scrape Successful
2023-05-11/05:14:26		Pirate Life Scrape Started
2023-05-11/05:17:31		Pirate Life Scrape Successful
2023-05-11/06:16:57		Pixel Pirate Scrape Started
2023-05-11/06:18:42		Pixel Pirate Scrape Successful
2023-05-11/06:18:42		Pirate Life Scrape Started
2023-05-11/06:21:42		Pirate Life Scrape Successful
2023-05-11/07:12:37		Pixel Pirate Scrape Started
2023-05-11/07:15:12		Pixel Pirate Scrape Successful
2023-05-11/07:15:12		Pirate Life Scrape Started
2023-05-11/07:19:21		Pirate Life Scrape Successful
2023-05-11/08:16:26		Pixel Pirate Scrape Started
2023-05-11/08:18:37		Pixel Pirate Scrape Successful
2023-05-11/08:18:37		Pirate Life Scrape Started
2023-05-11/08:22:16		Pirate Life Scrape Successful
2023-05-11/09:13:03		Pixel Pirate Scrape Started
2023-05-11/09:15:42		Pixel Pirate Scrape Successful
2023-05-11/09:15:42		Pirate Life Scrape Started
2023-05-11/09:20:09		Pirate Life Scrape Successful
2023-05-11/10:14:08		Pixel Pirate Scrape Started
2023-05-11/10:16:00		Pixel Pirate Scrape Successful
2023-05-11/10:16:00		Pirate Life Scrape Started
2023-05-11/10:19:06		Pirate Life Scrape Successful
2023-05-11/11:11:11		Pixel Pirate Scrape Started
2023-05-11/11:13:09		Pixel Pirate Scrape Successful
2023-05-11/11:13:09		Pirate Life Scrape Started
2023-05-11/11:16:25		Pirate Life Scrape Successful
2023-05-11/12:26:06		Pixel Pirate Scrape Started
2023-05-11/12:28:07		Pixel Pirate Scrape Successful
2023-05-11/12:28:07		Pirate Life Scrape Started
2023-05-11/12:31:36		Pirate Life Scrape Successful
2023-05-11/13:16:34		Pixel Pirate Scrape Started
2023-05-11/13:18:41		Pixel Pirate Scrape Successful
2023-05-11/13:18:41		Pirate Life Scrape Started
2023-05-11/13:22:19		Pirate Life Scrape Successful
2023-05-11/14:12:40		Pixel Pirate Scrape Started
2023-05-11/14:15:25		Pixel Pirate Scrape Successful
2023-05-11/14:15:25		Pirate Life Scrape Started
2023-05-11/14:19:56		Pirate Life Scrape Successful
2023-05-11/15:13:38		Pixel Pirate Scrape Started
2023-05-11/15:15:41		Pixel Pirate Scrape Successful
2023-05-11/15:15:41		Pirate Life Scrape Started
2023-05-11/15:19:14		Pirate Life Scrape Successful
2023-05-11/16:17:22		Pixel Pirate Scrape Started
2023-05-11/16:20:01		Pixel Pirate Scrape Successful
2023-05-11/16:20:01		Pirate Life Scrape Started
2023-05-11/16:24:25		Pirate Life Scrape Successful
2023-05-11/17:11:49		Pixel Pirate Scrape Started
2023-05-11/17:13:58		Pixel Pirate Scrape Successful
2023-05-11/17:13:58		Pirate Life Scrape Started
2023-05-11/17:17:35		Pirate Life Scrape Successful
2023-05-11/18:16:16		Pixel Pirate Scrape Started
2023-05-11/18:18:22		Pixel Pirate Scrape Successful
2023-05-11/18:18:22		Pirate Life Scrape Started
2023-05-11/18:21:53		Pirate Life Scrape Successful
2023-05-11/19:10:32		Pixel Pirate Scrape Started
2023-05-11/19:13:12		Pixel Pirate Scrape Successful
2023-05-11/19:13:12		Pirate Life Scrape Started
2023-05-11/19:17:22		Pirate Life Scrape Successful
2023-05-11/20:13:43		Pixel Pirate Scrape Started
2023-05-11/20:16:19		Pixel Pirate Scrape Successful
2023-05-11/20:16:19		Pirate Life Scrape Started
2023-05-11/20:20:43		Pirate Life Scrape Successful
2023-05-11/21:11:18		Pixel Pirate Scrape Started
2023-05-11/21:13:28		Pixel Pirate Scrape Successful
2023-05-11/21:13:28		Pirate Life Scrape Started
2023-05-11/21:16:57		Pirate Life Scrape Successful
2023-05-11/22:12:32		Pixel Pirate Scrape Started
2023-05-11/22:15:14		Pixel Pirate Scrape Successful
2023-05-11/22:15:14		Pirate Life Scrape Started
2023-05-11/22:19:34		Pirate Life Scrape Successful
2023-05-11/23:13:48		Pixel Pirate Scrape Started
2023-05-11/23:16:14		Pixel Pirate Scrape Successful
2023-05-11/23:16:14		Pirate Life Scrape Started
