2022-11-04/01:21:42		Pixel Pirate Scrape Started
2022-11-04/01:25:38		Pixel Pirate Scrape Successful
2022-11-04/01:25:38		Pirate Life Scrape Started
2022-11-04/01:27:11		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-04/03:23:58		Pixel Pirate Scrape Started
2022-11-04/03:27:29		Pixel Pirate Scrape Successful
2022-11-04/03:27:29		Pirate Life Scrape Started
2022-11-04/03:28:53		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-04/04:24:24		Pixel Pirate Scrape Started
2022-11-04/04:27:48		Pixel Pirate Scrape Successful
2022-11-04/04:27:48		Pirate Life Scrape Started
2022-11-04/04:29:06		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-04/05:03:41		Pixel Pirate Scrape Started
2022-11-04/05:07:42		Pixel Pirate Scrape Successful
2022-11-04/05:07:42		Pirate Life Scrape Started
2022-11-04/05:09:22		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-04/05:42:42		Pixel Pirate Scrape Started
2022-11-04/05:45:52		Pixel Pirate Scrape Successful
2022-11-04/05:45:52		Pirate Life Scrape Started
2022-11-04/05:47:07		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-04/06:19:52		Pixel Pirate Scrape Started
2022-11-04/06:23:07		Pixel Pirate Scrape Successful
2022-11-04/06:23:07		Pirate Life Scrape Started
2022-11-04/06:24:22		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-04/06:48:09		Pixel Pirate Scrape Started
2022-11-04/06:51:18		Pixel Pirate Scrape Successful
2022-11-04/06:51:18		Pirate Life Scrape Started
2022-11-04/06:52:32		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-04/07:13:59		Pixel Pirate Scrape Started
2022-11-04/07:17:09		Pixel Pirate Scrape Successful
2022-11-04/07:17:09		Pirate Life Scrape Started
2022-11-04/07:18:24		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-04/07:37:09		Pixel Pirate Scrape Started
2022-11-04/07:40:27		Pixel Pirate Scrape Successful
2022-11-04/07:40:27		Pirate Life Scrape Started
2022-11-04/07:41:42		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-04/08:20:50		Pixel Pirate Scrape Started
2022-11-04/08:24:01		Pixel Pirate Scrape Successful
2022-11-04/08:24:01		Pirate Life Scrape Started
2022-11-04/08:25:14		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-04/08:49:34		Pixel Pirate Scrape Started
2022-11-04/08:53:34		Pixel Pirate Scrape Successful
